County,Larceny-Theft,Hands  Fists  Feet,Bicycles,Attempted Rape,Commercial,Convenience Store,Trucks and Buses,Motor Vehicle Accessories,Automotive,Other Property,Gas Station,Firearm,No Force,Coin Operated Machine,$200 through $400,Rape,Arson,Day,From Building,Shoplifting,Over $200,Miscellaneous,Knife or Cutting Instrument,Purse-Snatching,$50 through $199,Strong-Arm,Motor Vehicle Theft,Violent Crimes,Under $50,Bank,From Motor Vehicle,Residence,Homicide,Over $400,Burglary,Mobile Property,Other,Aggravated Assault,Pocket-Picking,Robbery,Forcible Entry,Non-Residence,Highway,Structural Property,Rape (Forcible Rape prior to 2014),Property Crimes,Other Weapon,Unknown,Night
San Diego,"37,946","1,836","2,648",124.0,684,153.0,"1,161","1,387","7,338",127,99.0,829,"4,462",46.0,"5,981",974,347,708,"9,112","5,318",0.0,318,"1,461",159.0,"6,951","1,781","9,731","11,288","8,907",48.0,"15,022","5,267",80.0,"16,107","9,120",69.0,"4,175","7,097",79.0,"3,013","4,658","3,853","1,495",151.0,"1,098","56,797","2,971","1,707","1,438"
Monterey,"6,026",373,310,9.0,94,74.0,412,764,"1,519",14,19.0,246,729,35.0,785,159,58,273,455,805,0.0,82,150,20.0,"1,058",230,"2,080","1,802","1,871",1.0,"2,502","1,026",43.0,"2,312","1,937",17.0,"1,107","1,044",28.0,547,"1,208",911,246,27.0,168,"10,043",275,189,449
Santa Cruz,"6,445",226,607,22.0,6,23.0,187,445,964,25,11.0,80,501,28.0,"1,021",134,69,117,427,902,0.0,139,128,34.0,"1,125",112,"1,267","1,056","1,633",4.0,"2,858",584,3.0,"2,666","1,235",7.0,"1,124",665,20.0,232,734,651,28,37.0,156,"8,947",231,159,375
Tulare,106.0,14.0,1.0,0.0,0.0,0.0,0.0,14.0,63.0,0.0,0.0,16.0,17.0,2.0,15.0,5.0,1.0,1.0,17.0,13.0,0.0,6.0,10.0,1.0,10.0,1.0,64.0,77.0,34.0,2.0,16.0,55.0,1.0,47.0,84.0,0.0,36.0,63.0,6.0,8.0,67.0,29.0,0.0,1.0,5.0,254.0,23.0,22.0,6.0
Madera,"1,830",416,73,8.0,17,16.0,68,70,585,15,4.0,71,302,13.0,278,48,32,88,241,211,0.0,77,56,13.0,384,82,713,891,570,1.0,461,533,7.0,598,941,8.0,741,683,7.0,145,639,408,13,9.0,56,"3,484",140,93,227
Plumas,158.0,57.0,14.0,0.0,4.0,0.0,0.0,9.0,4.0,4.0,0.0,2.0,72.0,0.0,26.0,23.0,6.0,54.0,22.0,9.0,0.0,1.0,10.0,0.0,31.0,2.0,6.0,146.0,35.0,0.0,26.0,67.0,0.0,66.0,140.0,1.0,71.0,116.0,7.0,7.0,68.0,73.0,2.0,1.0,23.0,304.0,47.0,0.0,19.0
Modoc,124.0,16.0,10.0,0.0,0.0,0.0,3.0,6.0,10.0,1.0,0.0,0.0,20.0,0.0,24.0,2.0,2.0,5.0,37.0,2.0,0.0,1.0,5.0,0.0,38.0,2.0,15.0,58.0,25.0,0.0,18.0,26.0,2.0,37.0,40.0,0.0,51.0,51.0,0.0,3.0,20.0,14.0,0.0,1.0,2.0,179.0,30.0,4.0,5.0
Sacramento,"23,443","1,129","1,195",18.0,483,111.0,908,"3,162","4,884",124,73.0,"1,264","2,300",40.0,"3,407",369,315,906,"1,654","2,791",0.0,385,651,73.0,"4,153","1,088","6,203","7,412","6,304",23.0,"7,695","4,224",78.0,"9,579","6,942",58.0,"6,798","4,741",35.0,"2,206","4,642","2,718",736,133.0,387,"36,588","1,697",414,"1,398"
Calaveras,463.0,74.0,8.0,2.0,1.0,0.0,35.0,58.0,42.0,0.0,0.0,20.0,88.0,1.0,66.0,28.0,0.0,39.0,57.0,35.0,0.0,1.0,18.0,7.0,64.0,9.0,99.0,208.0,185.0,0.0,85.0,118.0,2.0,148.0,228.0,0.0,211.0,159.0,1.0,17.0,140.0,110.0,6.0,0.0,30.0,790.0,47.0,30.0,41.0
San Francisco,"45,385",870,790,54.0,187,251.0,422,93,"3,803",134,8.0,296,"2,494",8.0,"3,387",319,303,"1,088","2,876","2,208",0.0,"1,896",331,46.0,"3,213","2,065","4,875","6,410","17,403",26.0,"29,851","2,019",56.0,"21,382","4,993",95.0,"8,672","2,700",841.0,"3,281","2,499","2,974",862,74.0,373,"55,253","1,203",16,"1,870"
Lassen,326.0,138.0,11.0,0.0,0.0,0.0,6.0,13.0,47.0,4.0,0.0,7.0,88.0,2.0,49.0,15.0,10.0,5.0,63.0,43.0,0.0,8.0,15.0,1.0,79.0,5.0,63.0,270.0,108.0,0.0,84.0,125.0,1.0,90.0,209.0,0.0,109.0,241.0,0.0,13.0,121.0,84.0,0.0,6.0,15.0,598.0,81.0,73.0,6.0
San Bernardino,"29,988","1,667",456,43.0,780,288.0,"1,793","2,829","7,790",122,107.0,"1,085","3,306",40.0,"4,239",803,410,"1,105","2,566","5,502",0.0,656,"1,047",75.0,"5,069","1,502","10,308","10,217","9,661",18.0,"10,726","6,680",128.0,"11,019","11,711",118.0,"7,675","6,261",119.0,"2,982","8,405","5,031",805,170.0,846,"52,007","2,462","1,957","1,969"
Marin,"3,590",94,310,3.0,31,4.0,136,154,313,11,5.0,12,472,9.0,479,43,27,239,412,502,0.0,41,45,41.0,539,100,475,463,940,4.0,"1,485",414,4.0,"1,632",941,0.0,657,264,20.0,149,469,527,53,16.0,46,"5,006",113,78,210
Shasta,"3,175",245,113,3.0,8,46.0,260,351,841,50,6.0,116,504,1.0,411,115,61,61,286,557,0.0,17,182,5.0,577,102,"1,221","1,225","1,092",3.0,"1,397",778,6.0,"1,095","1,249",0.0,459,924,6.0,177,745,471,68,11.0,118,"5,645",381,220,190
Merced,"4,383",682,176,4.0,60,32.0,134,187,921,58,6.0,158,505,10.0,630,60,132,146,373,961,0.0,52,82,22.0,"1,026",148,"1,158","1,557","1,339",1.0,"1,418",899,19.0,"1,388","1,607",16.0,"1,213","1,200",23.0,274,"1,102",708,86,58.0,64,"7,148",278,169,393
San Joaquin,"13,965","1,097",358,17.0,293,173.0,"1,027","1,269","2,589",93,41.0,"1,039","1,305",41.0,"1,902",230,270,435,950,"2,434",0.0,723,333,21.0,"2,591",760,"3,861","5,991","4,434",25.0,"5,966","2,286",68.0,"5,038","3,925",44.0,"2,909","4,005",17.0,"1,671","2,620","1,639",181,133.0,247,"21,751","1,536",484,720
Santa Barbara,"5,825",394,651,20.0,45,26.0,94,337,"1,038",17,7.0,70,799,13.0,847,237,54,236,499,780,0.0,73,205,22.0,935,199,"1,254","1,532","2,059",5.0,"1,248",939,8.0,"1,984","1,663",7.0,"2,245",940,30.0,327,864,724,128,30.0,257,"8,742",271,253,235
Sutter,"10,781",920,345,6.0,275,88.0,499,525,"2,501",57,25.0,247,959,22.0,"1,365",190,127,296,801,"2,501",0.0,91,256,27.0,"1,964",444,"3,234","3,300","4,148",4.0,"3,419","1,498",41.0,"3,304","2,774",35.0,"3,129","2,158",12.0,905,"1,815","1,276",342,35.0,196,"16,789",735,385,595
Orange,"46,607","1,115","2,645",48.0,601,176.0,"1,580","2,786","6,699",182,86.0,642,"3,188",170.0,"7,052",782,328,988,"3,491","7,948",0.0,732,840,117.0,"8,430","1,228","8,835","7,627","12,736",31.0,"19,624","4,953",62.0,"18,389","10,196",52.0,"9,232","4,240",594.0,"2,495","7,008","5,243",706,94.0,830,"65,638","1,643","2,066","2,189"
Kern,"15,605","1,233",392,20.0,238,117.0,"1,204","1,523","4,278",152,43.0,523,"2,344",97.0,"2,159",287,692,794,833,"2,331",0.0,360,489,54.0,"2,845",655,"5,899","4,989","4,772",10.0,"6,089","3,459",89.0,"5,829","7,429",224.0,"4,185","3,296",101.0,"1,297","5,085","3,970",386,316.0,307,"28,933","1,051","1,494","1,682"
Lake,741,136,10,5.0,4,2.0,76,53,182,0,0.0,32,304,3.0,106,41,31,89,108,109,0.0,12,37,8.0,108,27,330,396,272,0.0,101,338,7.0,255,557,0.0,341,290,8.0,53,253,219,19,31.0,46,"1,628",85,54,76
Glenn,262.0,83.0,8.0,0.0,0.0,2.0,18.0,7.0,44.0,2.0,0.0,4.0,19.0,0.0,26.0,9.0,5.0,33.0,10.0,27.0,0.0,0.0,7.0,0.0,59.0,8.0,90.0,117.0,82.0,0.0,30.0,79.0,1.0,95.0,151.0,0.0,180.0,99.0,0.0,8.0,132.0,72.0,1.0,3.0,9.0,503.0,5.0,6.0,33.0
San Mateo,"11,055",474,618,7.0,156,21.0,230,441,"1,230",31,15.0,66,"1,179",23.0,"1,691",318,92,681,"1,093","1,546",0.0,153,136,55.0,"2,027",356,"1,606","1,928","2,421",10.0,"4,968",984,7.0,"4,916","2,481",3.0,"2,217","1,029",94.0,567,"1,302","1,497",167,58.0,325,"15,142",353,130,686
Los Angeles,"154,336","9,474","5,962",242.0,"4,561",788.0,"11,810","19,903","32,917","1,382",384.0,"7,415","12,155",410.0,"21,733","4,060","2,529","4,856","24,165","22,037",0.0,"3,482","6,570",606.0,"25,694","11,256","47,406","59,924","40,013",174.0,"55,252","26,540",580.0,"66,896","46,972",545.0,"25,184","33,953",817.0,"21,089","34,817","20,432","10,502",602.0,"4,302","248,714","10,494","6,371","9,205"
Mono,154.0,20.0,12.0,0.0,2.0,0.0,5.0,3.0,10.0,0.0,0.0,0.0,23.0,2.0,30.0,6.0,0.0,12.0,41.0,8.0,0.0,0.0,3.0,4.0,30.0,4.0,21.0,43.0,19.0,0.0,25.0,11.0,0.0,75.0,36.0,0.0,58.0,32.0,1.0,5.0,13.0,25.0,1.0,0.0,6.0,211.0,9.0,6.0,7.0
Placer,"5,165",174,151,1.0,48,7.0,83,233,484,17,12.0,53,573,9.0,728,106,53,97,592,996,0.0,52,43,33.0,"1,058",93,658,703,"1,195",4.0,"2,002",683,7.0,"2,184","1,146",3.0,"1,129",429,20.0,160,573,463,17,33.0,107,"6,969",159,180,186
Sierra,12.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,5.0,4.0,0.0,2.0,10.0,0.0,4.0,12.0,0.0,1.0,4.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,28.0,3.0,1.0,1.0
Sonoma,"6,337",538,156,8.0,141,53.0,438,496,"1,399",30,42.0,192,"1,326",11.0,796,171,140,894,848,"1,157",0.0,166,127,52.0,"1,073",366,"2,007","2,112","2,088",19.0,"2,249","1,455",30.0,"2,380","3,660",11.0,"1,340","1,202",28.0,701,"2,334","2,205",195,99.0,179,"12,004",345,238,"1,073"
Ventura,623,60,14,4.0,6,0.0,27,83,79,3,0.0,3,184,2.0,90,44,13,73,183,68,0.0,3,8,0.0,91,14,122,206,219,1.0,87,232,2.0,223,379,0.0,185,136,1.0,20,195,147,4,10.0,48,"1,124",65,27,47
Amador,436.0,74.0,4.0,0.0,1.0,0.0,10.0,23.0,41.0,3.0,0.0,1.0,76.0,2.0,69.0,9.0,5.0,42.0,99.0,31.0,0.0,2.0,9.0,3.0,77.0,6.0,66.0,115.0,146.0,0.0,78.0,65.0,0.0,144.0,147.0,0.0,196.0,99.0,0.0,7.0,71.0,82.0,1.0,2.0,9.0,649.0,15.0,17.0,23.0
El Dorado,"1,985",74,72,3.0,4,9.0,36,124,156,5,1.0,11,267,4.0,286,52,5,32,177,233,0.0,14,25,15.0,331,24,238,294,566,2.0,561,400,5.0,802,711,0.0,790,198,9.0,36,444,311,1,0.0,55,"2,934",88,86,193
Inyo,327.0,54.0,50.0,0.0,1.0,0.0,4.0,10.0,42.0,0.0,0.0,7.0,73.0,2.0,62.0,16.0,3.0,30.0,61.0,57.0,0.0,0.0,15.0,3.0,67.0,10.0,56.0,128.0,96.0,0.0,41.0,65.0,0.0,102.0,131.0,1.0,100.0,101.0,3.0,11.0,58.0,66.0,3.0,2.0,16.0,514.0,25.0,9.0,27.0
Colusa,179.0,46.0,2.0,1.0,0.0,0.0,4.0,8.0,20.0,2.0,2.0,2.0,38.0,1.0,25.0,12.0,4.0,30.0,12.0,4.0,0.0,1.0,2.0,2.0,28.0,7.0,39.0,78.0,38.0,0.0,71.0,53.0,1.0,88.0,121.0,0.0,79.0,55.0,0.0,9.0,83.0,68.0,3.0,2.0,13.0,339.0,5.0,10.0,28.0
Santa Clara,"27,773",701,"2,493",19.0,482,171.0,"2,391","2,097","7,422",106,53.0,596,"1,998",33.0,"3,718",780,266,488,"1,734","3,807",0.0,281,656,175.0,"4,154",986,"10,330","5,995","6,044",22.0,"12,664","3,859",46.0,"13,857","6,851",43.0,"4,613","3,258",157.0,"1,892","4,853","2,992",752,117.0,799,"44,954","1,305","1,270","1,234"
Kings,"1,786",315,53,10.0,19,8.0,156,134,290,4,9.0,44,259,4.0,263,78,31,67,254,308,0.0,18,54,11.0,427,62,529,754,512,2.0,506,417,9.0,584,620,2.0,514,553,2.0,104,361,203,30,25.0,88,"2,935",140,77,59
Yolo,"11,764",403,634,2.0,146,53.0,328,884,"1,144",50,20.0,174,929,54.0,"1,861",268,110,209,"1,092","3,029",0.0,236,301,10.0,"2,545",313,"1,609","2,239","3,328",8.0,"4,114","1,330",26.0,"4,030","2,612",26.0,"1,909","1,213",38.0,730,"1,683","1,282",224,34.0,270,"15,985",335,484,589
Humboldt,"2,495",58,194,4.0,22,4.0,128,111,641,16,21.0,58,347,2.0,396,70,65,174,154,547,0.0,49,65,11.0,563,65,827,646,753,2.0,806,481,8.0,783,874,6.0,660,392,10.0,172,527,393,45,43.0,74,"4,196",211,79,140
Mendocino,749,242,60,8.0,9,2.0,14,50,180,12,2.0,14,137,15.0,114,43,26,33,63,234,0.0,9,19,3.0,168,29,210,480,234,1.0,108,134,4.0,233,315,2.0,215,376,1.0,49,178,181,16,12.0,51,"1,274",101,64,84
Napa,"1,384",297,107,0.0,19,5.0,100,73,162,3,4.0,27,446,4.0,215,60,6,194,122,171,0.0,13,40,16.0,265,38,281,597,353,2.0,426,201,1.0,551,560,1.0,461,475,4.0,61,114,359,13,2.0,60,"2,225",111,61,104
Solano,"1,032",69,38,1.0,12,4.0,97,59,344,9,5.0,32,173,7.0,159,22,31,28,103,153,0.0,15,32,9.0,214,36,490,325,271,1.0,309,371,3.0,388,550,10.0,352,240,2.0,59,377,179,12,12.0,23,"2,072",107,78,73
San Luis Obispo,"4,345",421,416,9.0,11,11.0,68,130,272,24,5.0,27,395,12.0,647,87,36,146,361,977,0.0,31,67,17.0,963,45,429,829,"1,404",3.0,"1,303",398,2.0,"1,331","1,038",5.0,"1,119",646,10.0,85,643,640,12,7.0,96,"5,812",131,218,276
Riverside,"39,888","1,313","1,153",55.0,563,193.0,"2,462","1,668","6,602",96,94.0,835,"3,558",60.0,"5,427",495,229,938,"5,849","5,447",0.0,501,676,121.0,"7,600",784,"10,291","7,308","12,869",39.0,"14,638","6,635",81.0,"13,992","11,647",57.0,"10,349","4,451",603.0,"2,226","8,089","5,012",553,76.0,550,"61,826","1,627","1,743","2,331"
Tuolumne,"7,152",376,320,13.0,56,36.0,605,752,"1,397",23,30.0,167,558,30.0,615,149,72,270,694,"1,419",0.0,107,188,34.0,"1,483",161,"2,211","1,645","2,247",2.0,"2,092","1,308",33.0,"2,807","2,359",25.0,"1,792","1,068",19.0,382,"1,801","1,051",109,24.0,162,"11,722",337,408,373
Yuba,"4,089",126,797,2.0,22,14.0,63,233,487,21,6.0,33,368,8.0,757,63,73,75,162,398,0.0,41,51,14.0,972,98,619,568,958,1.0,"1,460",479,9.0,"1,402",948,13.0,"1,004",328,13.0,166,580,469,58,39.0,65,"5,656",118,217,177
Imperial,"3,017",262,172,12.0,8,1.0,53,163,409,45,5.0,39,453,2.0,308,33,80,253,72,587,0.0,36,30,59.0,527,61,526,628,"1,613",2.0,483,501,7.0,569,"1,293",13.0,"1,474",489,5.0,87,840,792,32,22.0,45,"4,836",158,293,246
Contra Costa,"19,728",589,598,20.0,267,111.0,745,"1,194","4,829",60,44.0,409,"1,243",26.0,"2,636",274,232,510,"1,553","3,593",0.0,582,236,105.0,"3,759",747,"5,836","3,830","5,222",31.0,"8,759","2,284",42.0,"8,111","4,171",96.0,"3,774","1,994",126.0,"1,500","2,928","1,887",347,76.0,294,"29,735",760,467,910
Alpine,22.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,13.0,5.0,0.0,9.0,3.0,0.0,11.0,8.0,0.0,9.0,13.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,32.0,3.0,4.0,1.0
Del Norte,375.0,75.0,15.0,0.0,2.0,0.0,30.0,15.0,44.0,6.0,0.0,2.0,10.0,4.0,51.0,29.0,19.0,145.0,30.0,62.0,0.0,14.0,1.0,3.0,63.0,17.0,96.0,151.0,173.0,0.0,53.0,28.0,4.0,88.0,221.0,8.0,193.0,95.0,0.0,23.0,211.0,193.0,5.0,5.0,29.0,692.0,17.0,1.0,47.0
Fresno,"19,212","1,234",711,17.0,206,80.0,677,"2,471","3,341",207,34.0,"1,099","1,657",34.0,"2,370",319,524,794,"1,570","2,646",0.0,161,578,34.0,"4,298",607,"4,385","5,745","6,197",8.0,"6,929","3,999",85.0,"6,347","6,757",181.0,"4,776","4,110",41.0,"1,214","5,100","2,758",563,136.0,336,"30,354","1,199",417,"1,547"
Siskiyou,381.0,73.0,19.0,2.0,0.0,0.0,10.0,22.0,95.0,2.0,1.0,4.0,100.0,2.0,59.0,13.0,4.0,28.0,58.0,103.0,0.0,4.0,22.0,2.0,89.0,6.0,129.0,176.0,121.0,1.0,68.0,145.0,6.0,112.0,290.0,1.0,105.0,147.0,2.0,8.0,190.0,145.0,1.0,1.0,15.0,800.0,48.0,70.0,47.0
Mariposa,193.0,79.0,2.0,0.0,0.0,0.0,1.0,13.0,11.0,0.0,0.0,2.0,41.0,0.0,35.0,9.0,0.0,1.0,32.0,19.0,0.0,1.0,6.0,1.0,35.0,2.0,14.0,108.0,38.0,0.0,16.0,57.0,0.0,85.0,83.0,0.0,110.0,96.0,0.0,3.0,42.0,26.0,1.0,0.0,9.0,290.0,9.0,15.0,10.0
Nevada,991,134,52,0.0,1,2.0,33,25,209,4,1.0,4,194,1.0,153,17,10,53,134,187,0.0,10,17,8.0,205,11,292,280,306,1.0,242,227,5.0,327,482,1.0,318,235,24.0,23,288,255,2,5.0,17,"1,765",80,74,128
Butte,"4,740",341,489,28.0,19,2.0,151,274,703,25,5.0,52,691,7.0,794,154,174,265,440,658,0.0,41,59,14.0,"1,108",75,941,921,"1,335",4.0,"1,333","1,048",7.0,"1,503","1,599",4.0,"1,520",589,5.0,143,908,551,40,145.0,182,"7,280",137,112,174
Tehama,"1,753",72,96,2.0,13,14.0,76,86,372,7,3.0,18,265,2.0,292,30,17,59,128,417,0.0,15,22,2.0,428,51,484,342,463,2.0,581,336,1.0,570,610,3.0,435,222,6.0,87,345,274,27,7.0,32,"2,847",110,142,73
Trinity,"1,120",100,28,3.0,8,2.0,70,60,144,4,1.0,21,228,2.0,159,49,12,84,310,172,0.0,17,24,8.0,308,27,256,274,391,0.0,240,256,8.0,262,447,0.0,297,168,3.0,46,219,191,8,8.0,52,"1,823",23,37,70
Stanislaus,"5,358",683,334,1.0,59,6.0,190,283,554,35,5.0,131,803,11.0,713,297,64,241,457,758,0.0,81,204,27.0,841,159,829,"2,025","1,804",10.0,"2,073",668,12.0,"2,000","1,399",6.0,"1,394","1,438",21.0,277,596,731,77,23.0,298,"7,586",420,309,181
San Benito,334.0,60.0,8.0,3.0,6.0,13.0,17.0,33.0,64.0,2.0,0.0,5.0,47.0,0.0,40.0,25.0,6.0,13.0,28.0,83.0,0.0,10.0,16.0,0.0,76.0,19.0,101.0,183.0,94.0,0.0,95.0,66.0,2.0,124.0,121.0,0.0,84.0,114.0,3.0,39.0,74.0,55.0,9.0,4.0,28.0,556.0,33.0,12.0,30.0
Alameda,"44,340",698,"2,032",42.0,453,261.0,992,"3,698","11,174",70,109.0,853,"1,980",39.0,"4,882",768,439,845,"1,926","3,650",0.0,"1,158",462,396.0,"6,017","2,396","12,606","9,923","13,036",38.0,"21,861","3,846",90.0,"20,405","6,915",162.0,"9,886","4,206",852.0,"4,817","4,935","3,069","2,501",207.0,810,"63,861","2,193",949,"1,275"
